ASIN,Binding,Brand,Color,Feature,Label,ListPrice,Manufacturer,Model,MPN,PackageDimensions,PackageQuantity,PartNumber,ProductGroup,ProductTypeName,Publisher,Size,Studio,Title,LowestNewPrice,TotalNew,TotalUsed,TotalCollectible,TotalRefurbished,TotalOffers,TotalOfferPages,MoreOffersUrl,Offers_number,min_condition,min_price,max_condition,max_price
B01326XJW4,Electronics,DBPOWER,Blue,13.5 inch DVD Player (include out frame); 10.2 inch Screen;Improved Battery Extends play time to 4 hours; more play time; more fun;Direct Play via USB and SD card; Convenient for use While Traveling;Swivels and Rotates 360 Degrees for Easy and Perfect Visibility;We can use the earphone with our portable dvd player,DBPOWER,[object Object],DBPOWER,undefined,undefined,[object Object],1,undefined,CE,AUDIO_OR_VIDEO,DBPOWER,10.5,DBPOWER,DBPOWER® 10.5" Portable DVD Player; 4 Hour Rechargeable Battery; Swivel Screen; Supports SD Card and USB; Direct Play in Formats AVI/RMVB/MP3/JPEG (10.5; Blue),£59.99,1,1,0,0,2,1,https://www.amazon.co.uk/gp/offer-listing/B01326XJW4?SubscriptionId=AKIAI7UIBW6PANJASE6A&tag=datagatherer&linkCode=xm2&camp=2025&creative=12734&creativeASIN=B01326XJW4,2,Used,£56.40,New,£99.99,
B00LCVLLJA,Electronics,LG Electronics,Black,Plays All Region DVD discs + High Quality 1.5M HDMI CABLE - WATCH DVD's FROM ANYWHERE AROUND THE WORLD!;1080p up-scaling via HDMI - Upscales your standard definition DVD discs to near-Full HD quality when connected to an HDTV; breathing new life into your DVD collection;Progressive scan - LG's progressive scan technology projects all the colours onto the screen instantly; without any break between the scanning lines; resulting in flicker-free and high-density images;LG system will play back everything from CD to DivX movies from the internet with Multi format Playback including DivX (DVDR/RW; CD; MP3; WMA; JPEG.);USB Contents Playback - Just plug a USB memory stick loaded with movies; music or photos into your LG device and enjoy your content in stunning video and audio clarity.,LG,[object Object],LG,DP542H-MR,DP542H-MR,[object Object],1,DP542H-MR,Photography,CAMERA_OTHER_ACCESSORIES,LG,1.5 Meters,LG,LG DP542H HDMI/MULTIREGION DVD Player 1080p HD Upscaling DivX Support USB Playback - PAL & NTSC Free All Regions 0 1 2 3 4 5 6 Supports CD Audio; DivX playback; CD-R / CD-RW; DVD-R / DVD-RW; DVD+R / DVD+RW; DVD Video; MP3 and JPEG Includes high quality HDMI Lead,£42.99,4,0,0,0,1,1,https://www.amazon.co.uk/gp/offer-listing/B00LCVLLJA?SubscriptionId=AKIAI7UIBW6PANJASE6A&tag=datagatherer&linkCode=xm2&camp=2025&creative=12734&creativeASIN=B00LCVLLJA,1,New,£42.99,New,£42.99,
B01326XJSI,Electronics,DBPOWER,Black,13.5 inch DVD Player (include out frame); 10.2 inch Screen;Improved Battery Extends play time to 4 hours; more play time; more fun;Direct Play via USB and SD card; Convenient for use While Traveling;Swivels and Rotates 360 Degrees for Easy and Perfect Visibility;We can use the earphone with our portable dvd player,DBPOWER,[object Object],DBPOWER,undefined,UK-MP0603-01,[object Object],1,UK-MP0603-01,CE,AUDIO_OR_VIDEO,DBPOWER,10.5,DBPOWER,DBPOWER® 10.5" Portable DVD Player; 4 Hour Rechargeable Battery; Swivel Screen; Supports SD Card and USB; Direct Play in Formats AVI/RMVB/MP3/JPEG (10.5; Black),£59.99,1,0,0,0,1,1,https://www.amazon.co.uk/gp/offer-listing/B01326XJSI?SubscriptionId=AKIAI7UIBW6PANJASE6A&tag=datagatherer&linkCode=xm2&camp=2025&creative=12734&creativeASIN=B01326XJSI,1,New,£99.99,New,£99.99,
B00JTQTJHG,Electronics,DBPOWER,Black,Fits most 9-9.5 inch Swivel & Flip style Portable DVD Players;Adjustable straps allow for easy; quick and secure mounting to most cars' headrests;Made off durable nylon - Resists wear and stains;Side access to ports and connections;Makes you to enjoy music or movies in your car comfortably,Get It Home,[object Object],Get It Home,mp0386-1503,mp0386-1503,[object Object],1,mp0386-1503,CE,CONSUMER_ELECTRONICS,Get It Home,9.5 Inch,Get It Home,DBPOWER 9/9.5 Car Headrest Moust Holder Strap Case for Swivel & Flip Style Portable DVD Player,£11.99,1,0,0,0,1,1,https://www.amazon.co.uk/gp/offer-listing/B00JTQTJHG?SubscriptionId=AKIAI7UIBW6PANJASE6A&tag=datagatherer&linkCode=xm2&camp=2025&creative=12734&creativeASIN=B00JTQTJHG,1,New,£11.99,New,£11.99,
B01NAHB3AK,undefined,DBPOWER,Blue,HIGH CAPACITY BUILT-IN BATTERY: Built in 2500 mAh rechargeable lithium battery that ensures an using time about 5 hours. Battery-powered; car charger; AC power adapter three power supplies; you can play anywhere.;SUPPORT MULTI-MEDIA: Direct play in formats: CD; DVD; CD-R/RW; DVD -R/+R; DVD+RW/-RW; VCD;SVCD; USB and SD Card supported: MP3/WMA/WAV; JPEG; MPEG2/AVI/DIVX; TXT.;SWIVELING SCREEN: 9.5 inch 800*480 Swivel Screen with 270 degrees rotation and 180 degrees flip. The portable dvd player can be swiveled as a tablet to put into the car backset to play.;MULTIPLE WAYS TO PLAY: The package included an AV cable; AV input and output can be connected to the TV; watching movies on the bigger and clearer screen. 2 same portable dvd players can be connected by an AV to AV cable to play same movie at the same time.;LAST MEMORY: Support break-point memory function; our portable DVD player will pick up from where you left last time.,DBPOWER,[object Object],DBPOWER,undefined,undefined,[object Object],1,undefined,CE,PORTABLE_AV_DEVICE,DBPOWER,9.5",DBPOWER,DBPOWER 9.5" Portable DVD Player; 5 Hour Rechargeable Battery; Swivel Screen; Supports SD Card and USB; Direct Play in Formats AVI/RMVB/MP3/JPEG (9.5; Blue),£52.99,1,0,0,0,1,1,https://www.amazon.co.uk/gp/offer-listing/B01NAHB3AK?SubscriptionId=AKIAI7UIBW6PANJASE6A&tag=datagatherer&linkCode=xm2&camp=2025&creative=12734&creativeASIN=B01NAHB3AK,1,New,£79.99,New,£79.99,
B01AAH1D80,Electronics,Sony,Black,Wi-Fi compatibility for stable and quick access to a wide range of online services;Access over 300 online apps for catch-up TV like BBCiPlayer or Channel 5 and VoD like Netflix and many more;Enjoy PlayStation3 games streamed via the cloud without a console with PlayStation Now; giving more people the opportunity to experience the world of PlayStation;Static,Sony,[object Object],Sony,BDPS3700B.CEK,BDPS3700B.CEK,[object Object],1,BDPS3700B.CEK,Home Theater,ABIS_ELECTRONICS,Sony,undefined,Sony,Sony BDP-S3700 Smart Blu-Ray and DVD Player with Wi-Fi and Built-In Apps (2016 Model) - Black,£65.00,10,18,0,1,3,1,https://www.amazon.co.uk/gp/offer-listing/B01AAH1D80?SubscriptionId=AKIAI7UIBW6PANJASE6A&tag=datagatherer&linkCode=xm2&camp=2025&creative=12734&creativeASIN=B01AAH1D80,3,Used,£57.62,New,£65.00,
B01BQ532KW,Electronics,NAVISKAUTO,undefined,Cable lenght：2M;Input: AC100-240V;Output: DC12V 1000ma;Compatible with all Naviskauto headrest player and other in car DVD player with 4mm input power jack.,Sokesi,[object Object],Sokesi,sokesi46,sokesi46,[object Object],1,sokesi46,CE,CAR_ELECTRONICS,Sokesi,undefined,Sokesi,NAVISKAUTO DC 12V Home Travel 100-240V AC Adapter Power Supply for Portable DVD Player Headrest,£7.99,1,0,0,0,1,1,https://www.amazon.co.uk/gp/offer-listing/B01BQ532KW?SubscriptionId=AKIAI7UIBW6PANJASE6A&tag=datagatherer&linkCode=xm2&camp=2025&creative=12734&creativeASIN=B01BQ532KW,1,New,£7.99,New,£7.99,
B01AFWKC8C,Personal Computers,Patuoxun,Silver,【CLASSIC APPEARANCE】 With grinding surface finish; this CD/DVD writer/burner is fashionable. This optical drive features ultra slim; lightweight; compact; portable.;【GREAT PERFORMANCE】 It features strong error-correcting ability; anti-shock and noise reduction technology; low power consumption; and powered by the USB port; no external AC adapter needed.;【NO EXTRA DRIVER NEEDED】 Plug and play; no complicated installation; easy to use .[NOTE] Please hook up the device to the direct USB port on your computer. If you connect it to a USB hub or extension cords; it may not recognize the drive or read the CD/DVD; so this drive is Not suitable for The New Macbook Pro.;【USB 2.0 INTERFACE】 The DVD-RW drive and the USB cable are combined in one. You won't be annoyed by losing this little cable. USB 2.0 is backwards compatible with USB 1.0.;【UNIQUE BURNING TECHNOLOGY】 You can burn your disc or interrupt recording at your ease. Pop-up button and disc tray design make it convenient to read or write discs.,Patuoxun,[object Object],Patuoxun,PPC013S-UKAE2,PPC013S-UKAE2,[object Object],undefined,PPC013S-UKAE2,Personal Computer,COMPUTER_COMPONENT,Patuoxun,undefined,Patuoxun,External DVD CD Burner Drive; USB DVD CD RW Writer Player with Classic Silvery for Apple MacBook Air; Macbook Pro; Mac OS; PC Laptop,£15.99,3,0,0,0,1,1,https://www.amazon.co.uk/gp/offer-listing/B01AFWKC8C?SubscriptionId=AKIAI7UIBW6PANJASE6A&tag=datagatherer&linkCode=xm2&camp=2025&creative=12734&creativeASIN=B01AFWKC8C,1,New,£15.99,New,£15.99,
B01F2SJZ6Y,undefined,Curtis,Black,Inbuilt rechargeable battery pack with over 2.5 hours playback; swivel screen clamshell DVD player. Clear high quality 9" screen.;Supplied with both mains and car chargers. 3.5mm headphone jack socket; AV Out Socket for connection to TV etc (Cable sold separately);Will support multi-formats. Playback from USB; Disk or SD card.;Compatible with DVD; DVDR; DVDRW; VCD; CD; CD-R; MP3;Full 12 months warranty.,Sylvania,[object Object],Sylvania,SDVD9327,9060,[object Object],1,9060,CE,PORTABLE_AV_DEVICE,Sylvania,M,Sylvania,Curtis 9" Portable DVD Player with USB and SD Card Inputs - Swivel Screen with Internal Battery,£49.95,2,1,0,0,2,1,https://www.amazon.co.uk/gp/offer-listing/B01F2SJZ6Y?SubscriptionId=AKIAI7UIBW6PANJASE6A&tag=datagatherer&linkCode=xm2&camp=2025&creative=12734&creativeASIN=B01F2SJZ6Y,2,Used,£49.97,New,£99.99,
B003J33YKI,Electronics,Victorian Systems,Black,For Windows 10 Please install VLC Media player to play DVD and CD;You can play your Videos; Games; Movies; Music CDs and DVDs On Single Layer & Dual Layer DVD Disks.;Light weight; Portable; Easy to Carry. This drive can write CD-RW and read DVD-ROM;It does not require additional power supply; Just PLUG and Play; Low power consumption.;Works fine with Win XP; VISTA; Windows 7; Windows 8;10; Apple Mac; LINUX.,Victorian Systems,[object Object],Victorian Systems,CD-RW Drive,OP3-USB-BLACK A15,[object Object],1,OP3-USB-BLACK A15,Personal Computer,CONSUMER_ELECTRONICS,Victorian Systems,undefined,Victorian Systems,Victorian Systems® USB 2.0 Slim Portable External DVD Drive CD RW DVD Rom CD Burner Writer Rewriter Copier CD-RW For Netbook; Notebook; Desktop; Laptop; MAC; Support Windows 10;8;7;Vista; XP; MAC OS,£10.39,4,0,0,0,1,1,https://www.amazon.co.uk/gp/offer-listing/B003J33YKI?SubscriptionId=AKIAI7UIBW6PANJASE6A&tag=datagatherer&linkCode=xm2&camp=2025&creative=12734&creativeASIN=B003J33YKI,1,New,£10.39,New,£10.39,
B0118UVPI6,Electronics,DBPOWER,Red,Improved Battery Extends play time to 5 hours; more play time; more fun;Direct Play via USB and SD card; Convenient for use While Traveling;9.5 inch Screen; Swivels and Rotates 360 Degrees for Easy and Perfect Visibility;We can use the earphone with our portable dvd player;Shock Resistant,DBPOWER,[object Object],DBPOWER,undefined,undefined,[object Object],1,undefined,CE,CONSUMER_ELECTRONICS,DBPOWER,9.5,DBPOWER,DBPOWER 9.5" Portable DVD Player; 5 Hour Rechargeable Battery; Swivel Screen; Supports SD Card and USB; Direct Play in Formats AVI/RMVB/MP3/JPEG (RED),£55.99,1,0,0,0,1,1,https://www.amazon.co.uk/gp/offer-listing/B0118UVPI6?SubscriptionId=AKIAI7UIBW6PANJASE6A&tag=datagatherer&linkCode=xm2&camp=2025&creative=12734&creativeASIN=B0118UVPI6,1,New,£79.99,New,£79.99,
B00QNDZIXW,Electronics,Goodmans,Black,HDMI output with upscaling function;PAL & NTSC Playback;Dolby Digital Decoder;L/R Audio; Video; Coaxial; HDMI and Scart Sockets;Remote Control;Static,Goodmans,[object Object],Goodmans,GDVD3607HDMI,GDVD3607HDMI,[object Object],1,GDVD3607HDMI,CE,AUDIO_OR_VIDEO,Goodmans,undefined,Goodmans,Goodmans HDMI DVD Player,£29.99,4,1,0,0,2,1,https://www.amazon.co.uk/gp/offer-listing/B00QNDZIXW?SubscriptionId=AKIAI7UIBW6PANJASE6A&tag=datagatherer&linkCode=xm2&camp=2025&creative=12734&creativeASIN=B00QNDZIXW,2,Used,£26.69,New,£29.99,
B009S4RO8A,Electronics,Denver,Black,Multi Region DVD player straight from the box. Play DVD discs bought anywhere world wide. No code to enter; no modifications needed. Full 1 year manufacturer warranty included;USB DVD player with USB port located on the front so you can plug in a USB flash drive for play back of photos; music or movies. Supports JPEG photos; MP3 music and Xvid movies;A very compact DVD player with dimensions of only 22.5cm x 23cm and sitting only 5.5 cm tall;Gives a superb; clear; smooth picture for DVD playback. Includes a full function remote control. Supports massive of formats including dvd; cd; cd-r/rw; vcd/svcd; dvd-r/rw; dvd+r/rw; jpeg; avi (Xvid);Full 1 year warranty supported by UK support centre. Fast delivery,Denver Electronics,[object Object],Denver Electronics,11326010,5706751017193,[object Object],1,5706751017193,CE,AUDIO_OR_VIDEO,Denver Electronics,undefined,Denver Electronics,Denver DVU-7782 Multi Region DVD Player - Compact with USB,£35.99,2,0,0,0,1,1,https://www.amazon.co.uk/gp/offer-listing/B009S4RO8A?SubscriptionId=AKIAI7UIBW6PANJASE6A&tag=datagatherer&linkCode=xm2&camp=2025&creative=12734&creativeASIN=B009S4RO8A,1,New,£44.99,New,£44.99,
B019F8BA5Q,Electronics,Rayinblue,undefined,Fit Most 9"- 9.8" portable DVD player;Car headrest mount is designed for keep portable DVD player safe in the car and easily carry;Enjoy Movies or Music in your car while on the road;The mount has some pocket; you can put some DVD and any accessories into the pocket;The mount has a side outlet for cables and switching button,Rayinblue,[object Object],Rayinblue,undefined,undefined,[object Object],1,undefined,CE,CE_ACCESSORY,Rayinblue,undefined,Rayinblue,New Black 9.5" Portable DVD Player Case Carry Bag with Strap for Car Headrest Mount,£12.99,2,0,0,0,1,1,https://www.amazon.co.uk/gp/offer-listing/B019F8BA5Q?SubscriptionId=AKIAI7UIBW6PANJASE6A&tag=datagatherer&linkCode=xm2&camp=2025&creative=12734&creativeASIN=B019F8BA5Q,1,New,£12.99,New,£12.99,
B06XSHSGL2,Electronics,Panasonic,undefined,4K playback from disc and full HD 3D blu-ray disc playback;Network Functions for 4K Content; 4K Netflix and 4K YouTube;Wireless LAN built-in;Static;3D ready,Panasonic,[object Object],Panasonic,DMP-UB400EBK,DMP-UB400EBK,[object Object],1,DMP-UB400EBK,CE,ABIS_ELECTRONICS,Panasonic,DMP-UB400EBK,Panasonic,Panasonic DMP-UB400EBK Native 4K Ultra HD Blu-Ray Disc Player includes the 4K movie Fantastic Beasts and Where to Find Them.,£249.00,9,0,0,0,1,1,https://www.amazon.co.uk/gp/offer-listing/B06XSHSGL2?SubscriptionId=AKIAI7UIBW6PANJASE6A&tag=datagatherer&linkCode=xm2&camp=2025&creative=12734&creativeASIN=B06XSHSGL2,1,New,£249.00,New,£249.00,
B01ARQMUE0,Personal Computers,LONPOO,undefined,Fashionable & Simple Design; Front cabinet is with Metal mash; it looks top grade.<br/> Power :10W; Box Size: 22(L)*3.7(W)*3.7(h) inch ; (Shipping soon; Fast delivery!);Stereo Audio system with high fidelity; built-in full range speaker for HI-FI sound enjoyment;Built-in 4 speakers with perfect sound; with Anti-interference cable (USB Cabel and Audio Cable) to avoid any noise;Big Volume knob with LED light indicator (Medium volume adjustable; without mute); support Mic and Earphone jack; very convenient change to headset connection in a private use; and it's very easy to wall mounted installation. Mini size and light; saving space and convenient to place; easy to use. Suitable put in a private office; bedroom; study-room; meeting room; ect.;Compatiable with Computer; Notebook; Mobile phone; Small size TV(no larger than 32inch) and portable Audio Player. ***INPORTANT NOTE***: Please check the TV output jack before buying it! If you need connect to your TV; please make sure it has the Audio output jack or earphone output jack. Because if the TV jack only support optical output; it can't be connected with the soundbar!l!!!,LONPOO,[object Object],LONPOO,700A,700A,[object Object],1,700A,Speakers,SPEAKERS,LONPOO,700A,LONPOO,LONPOO 700A Hi-Fi Slim Mini Soundbar 10W USB Powered TV Speaker Home Theater Systemwith Big Knob AUX Input for Small TV/PC/Laptop/Smartphones,£33.80,2,0,0,0,1,1,https://www.amazon.co.uk/gp/offer-listing/B01ARQMUE0?SubscriptionId=AKIAI7UIBW6PANJASE6A&tag=datagatherer&linkCode=xm2&camp=2025&creative=12734&creativeASIN=B01ARQMUE0,1,New,£79.00,New,£79.00,
B01LXMURK6,undefined,DBPOWER,undefined,Fits most 10-10.5 inch Swivel & Flip style Portable DVD Players;Adjustable straps allow for easy; quick and secure mounting to most cars' headrests;Made off durable nylon - Resists wear and stains;Side access to ports and connections;Makes you to enjoy music or movies in your car comfortably,DBPOWER,[object Object],DBPOWER,undefined,Car Headrest Moust--01,[object Object],1,Car Headrest Moust--01,Automotive Parts and Accessories,AUTO_ACCESSORY,DBPOWER,10-10.5,DBPOWER,DBPOWER 10/10.5 Car Headrest Moust Holder Strap Case for Swivel & Flip Style Portable DVD Player (10-10.5),£12.99,1,0,0,0,1,1,https://www.amazon.co.uk/gp/offer-listing/B01LXMURK6?SubscriptionId=AKIAI7UIBW6PANJASE6A&tag=datagatherer&linkCode=xm2&camp=2025&creative=12734&creativeASIN=B01LXMURK6,1,New,£12.99,New,£12.99,
